filename,dut,dut_version,os_version,config,test_case_id,line_number,timestamp,run_date,status,error_msg,suite,raw_line
tc_func_tcp_tfg_001_20240722-113936.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,568,2024-07-22 11:40:13.618,2024-07-22,ABORT,Could not receive Ping reply from H2.,,11:40:13.618 # TEST CASE ABORTED : Could not receive Ping reply from H2.
tc_func_tcp_tfg_001_20240722-113936.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,693,2024-07-22 11:40:18.642,2024-07-22,ABORT,Could not receive Ping reply from H2.           #,,11:40:18.642 # Result: ABORTED  Could not receive Ping reply from H2.           #
tc_func_tcp_tfg_001_20240722-114249.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,566,2024-07-22 11:43:16.338,2024-07-22,ABORT,Could not receive Ping reply from H2.,,11:43:16.338 # TEST CASE ABORTED : Could not receive Ping reply from H2.
tc_func_tcp_tfg_001_20240722-114249.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,691,2024-07-22 11:43:21.375,2024-07-22,ABORT,Could not receive Ping reply from H2.           #,,11:43:21.375 # Result: ABORTED  Could not receive Ping reply from H2.           #
tc_func_tcp_tfg_001_20240722-114343.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,566,2024-07-22 11:44:10.802,2024-07-22,ABORT,Could not receive Ping reply from H2.,,11:44:10.802 # TEST CASE ABORTED : Could not receive Ping reply from H2.
tc_func_tcp_tfg_001_20240722-114343.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,577,2024-07-22 11:44:11.804,2024-07-22,ABORT,Could not receive Ping reply from H2.           #,,11:44:11.804 # Result: ABORTED  Could not receive Ping reply from H2.           #
tc_func_tcp_tfg_001_20240722-114613.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,583,2024-07-22 11:46:36.392,2024-07-22,ABORT,Could not GET ftppackets.txt file from FTP server.,,11:46:36.392 # TEST CASE ABORTED : Could not GET ftppackets.txt file from FTP server.
tc_func_tcp_tfg_001_20240722-114613.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,594,2024-07-22 11:46:37.394,2024-07-22,ABORT,Could not GET ftppackets.txt file from FTP      #,,11:46:37.394 # Result: ABORTED  Could not GET ftppackets.txt file from FTP      #
tc_func_tcp_tfg_001_20240722-115721.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,583,2024-07-22 11:57:45.130,2024-07-22,ABORT,Could not GET ftppackets.txt file from FTP server.,,11:57:45.130 # TEST CASE ABORTED : Could not GET ftppackets.txt file from FTP server.
tc_func_tcp_tfg_001_20240722-115721.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,594,2024-07-22 11:57:46.132,2024-07-22,ABORT,Could not GET ftppackets.txt file from FTP      #,,11:57:46.132 # Result: ABORTED  Could not GET ftppackets.txt file from FTP      #
tc_func_tcp_tfg_001_20240722-120158.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,583,2024-07-22 12:02:28.558,2024-07-22,ABORT,Could not GET ftppackets.txt file from FTP server.,,12:02:28.558 # TEST CASE ABORTED : Could not GET ftppackets.txt file from FTP server.
tc_func_tcp_tfg_001_20240722-120158.log,Cisco,1.2,Linux,tcp_cisco,tc_func_tcp_tfg_001.tcl,594,2024-07-22 12:02:29.561,2024-07-22,ABORT,Could not GET ftppackets.txt file from FTP      #,,12:02:29.561 # Result: ABORTED  Could not GET ftppackets.txt file from FTP      #
